Symbiota,4,70
Les Herbonautes,1073,70
Smithsonian,596,70
Symbiota,5,71
Les Herbonautes,1074,71
Smithsonian,596,71
Symbiota,6,72
Les Herbonautes,1074,72
Smithsonian,596,72
Symbiota,7,73
Les Herbonautes,1074,73
Smithsonian,596,73
Symbiota,8,74
Les Herbonautes,1074,74
Smithsonian,596,74
Symbiota,9,75
Les Herbonautes,1082,75
Smithsonian,596,75
Symbiota,10,76
Les Herbonautes,1145,76
Smithsonian,596,76
Symbiota,11,77
Les Herbonautes,1234,77
Smithsonian,596,77
Symbiota,12,78
Les Herbonautes,1281,78
Smithsonian,596,78
